gameId,season,week,gameDate,gameTimeEastern,gameTimeLocal,homeTeamId,visitorTeamId,seasonType,weekNameAbbr,siteId,homeTeamDistance,visitingTeamDistance,homeTeamFinalScore,visitingTeamFinalScore,winningTeam
27167,2004,0,2004-08-09,20:09:00,20:09:00,5110,1400,PRE,HOF,1900,241,1237,20,17,5110
27168,2004,1,2004-08-12,20:05:00,20:05:00,325,200,PRE,P1,3695,13,535,24,0,32
27169,2004,1,2004-08-12,20:00:00,19:00:00,2510,810,PRE,P1,1006,17,277,10,13,810
27170,2004,1,2004-08-13,20:05:00,20:05:00,3410,2310,PRE,P1,3757,1,1086,34,24,3410
27171,2004,1,2004-08-13,20:05:00,19:05:00,3300,3430,PRE,P1,2870,9,1155,23,13,3300
27172,2004,1,2004-08-13,20:06:00,20:06:00,3200,3700,PRE,P1,1065,2,253,24,6,3200
27176,2004,1,2004-08-14,20:00:00,19:00:00,3000,3800,PRE,P1,1004,12,1278,23,6,3000
27177,2004,1,2004-08-14,20:00:00,20:00:00,5110,750,PRE,P1,2389,34,336,20,23,750
27174,2004,1,2004-08-14,19:38:00,19:38:00,2700,2250,PRE,P1,2475,8,314,16,5,2700
27175,2004,1,2004-08-14,19:35:00,19:35:00,1540,3900,PRE,P1,2026,10,207,27,21,1540
27180,2004,1,2004-08-14,20:00:00,17:00:00,4500,2520,PRE,P1,1007,32,8,30,33,2520
27181,2004,1,2004-08-14,22:05:00,19:05:00,4400,2200,PRE,P1,1002,2,1776,17,21,2200
27178,2004,1,2004-08-14,20:06:00,19:06:00,2100,1050,PRE,P1,2350,3,446,24,3,2100
27179,2004,1,2004-08-14,20:06:00,19:06:00,2120,1200,PRE,P1,3698,1,242,18,0,2120
27182,2004,1,2004-08-15,19:10:00,19:10:00,610,1400,PRE,P1,3770,2,1368,16,6,610
27173,2004,1,2004-08-16,19:35:00,19:35:00,4900,920,PRE,P1,3697,1,778,20,6,4900
27183,2004,1,2004-08-16,20:05:00,19:05:00,1800,4600,PRE,P1,2606,1,1638,3,21,4600
27184,2004,2,2004-08-19,20:11:00,20:11:00,750,3410,PRE,P2,1769,1,534,27,20,750
27185,2004,2,2004-08-20,20:03:00,20:03:00,3700,325,PRE,P2,2769,2,92,26,17,3700
27186,2004,2,2004-08-20,19:30:00,19:30:00,200,3000,PRE,P2,1001,41,905,27,24,200
